	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	P.value.adj.BasalvsLP	P.value.adj.BasalvsML	P.value.adj.LPvsML	F	F.p.value
497097	-1.77912385572628	7.5589808273845	6.95912966201017	-0.599851165374328	11.6729492059866	11.3948102010232	-0.696753207890179	3.46198339672348e-07	4.34741932958089e-07	0.501681643092264	5.11889298690898e-06	5.08095666695655e-06	0.628655385208946	88.8421650328759	3.89780627708979e-07
27395	4.20659535566194	0.436489421416866	-0.0155397203873937	-0.45202914180426	2.25757310240793	-0.0856962647842479	-2.27684490182927	0.0473205166209207	0.933383275367655	0.045791036240957	0.0757738093980717	0.947151346421018	0.107560907499102	3.42884404432227	0.0730428387329938
18777	5.28019485376026	0.240324146123079	-0.4257205261192	-0.666044672242279	1.61366307123469	-2.97646904261481	-4.42758788054602	0.137379951074932	0.013751298243715	0.00124909493384995	0.189945047045038	0.0251793096719524	0.00819140265647431	10.3526680110474	0.00358493173638008
21399	4.99914253017853	0.318289518173496	0.356844932196242	0.0385554140227455	2.45585305392922	2.79979780077958	0.287080197100292	0.0337015912567879	0.0186370791331672	0.77985571748753	0.0564215861189457	0.0328241370557778	0.851773940798123	4.65047304276824	0.0370171483990707
58175	1.60867599188062	-5.50105706517015	-5.03944655944575	0.461610505724402	-15.6433681886894	-14.2943683158134	2.49720240116576	2.07926883685591e-08	4.98527835339889e-08	0.0313893728369032	8.46346065346665e-07	1.16528824877715e-06	0.0814765427588629	151.613499106254	2.93936408780963e-08
108664	5.7606047736024	-0.825957674943227	-1.04518260870225	-0.219224933759019	-7.18224441121476	-9.15368122097428	-1.90574434791335	2.83804859032111e-05	3.31375886681554e-06	0.0855214852063673	0.000144503804032705	2.31570766395866e-05	0.171296922786792	46.3349792324663	8.17710889827877e-06
12421	6.29223039306757	-0.959175536065859	-0.343961564489092	0.615213971576767	-7.25494650436187	-2.59472678207477	4.61741331014004	2.60281565201091e-05	0.0265383457347967	0.000930296868205477	0.000134754691925199	0.0446508691451948	0.00669810987678391	26.8955835783734	9.01244152260406e-05
319263	5.95185145680455	-0.166637062020788	0.0776796946849805	0.244316756705769	-1.079799031873	0.503283204001934	1.56436807572253	0.305347454707707	0.625561406775619	0.148503088731187	0.376606873600701	0.684464493046241	0.257629669550185	1.28879688969136	0.31732098456167
59014	5.60522073364859	1.13777980657364	1.4367797197783	0.298999913204666	5.01253832030013	6.32669049111045	1.27674774203371	0.0005121193403456	8.24345048706522e-05	0.230270226766179	0.00158561102863288	0.000310471885533844	0.357965074862042	22.2607238052696	0.000198870422797661
76187	0.506187388347631	-1.23679710573027	-1.28558278609965	-0.0487856803693831	-4.02340976643507	-4.36796761625585	-0.174541490629605	0.00237810397102282	0.00137164045261988	0.864889866829872	0.00577108835866681	0.00337724439620382	0.911341587714434	11.7625989299307	0.00230363760673132
